"NOM","SIGLE"
"ADELAIDE","DLD"
"ADELANTADO","DLNTD"
"ADELARD","DLRD"
"ADELATCHIMY","DLTCHM"
"ADELBRECHT","DLBRCHT"
"ADELE","DL"
"ADELE-AMELIE","DL-ML"
"ADELE-ROSE","DL-RS"
"ADELEE","DL"
"ADELER","DLR"
"ADELHELM","DLHLM"
"ADELIN","DLN"
"ADELINE","DLN"
"ADELINET","DLNT"
"ADELINO","DLN"
"ADELIS","DLS"
"ADELISE","DLS"
"ADELISSE","DLSS"
"ADELL","DLL"
"ADELLA","DLL"
"ADELLE","DLL"
"ADELLES","DLLS"
"ADELLON","DLLN"
"ADELMANN","DLMNN"
"ADELO","DL"
"ADELON","DLN"
"ADELPHE","DLPH"
"ADELSON","DLSN"
"ADELUS","DLS"
"ADELYS","DLS"
"ADEM","DM"
"ADEMA","DM"
"ADEMAR","DMR"
"ADEMI","DM"
"ADEN","DN"
"ADENET","DNT"
"ADENET-LOUVET","DNT-LVT"
"ADENIER","DNR"
"ADENIN","DNN"
"ADENIS","DNS"
"ADENOR","DNR"
"ADENOT","DNT"
"ADEQUILOM","DQLM"
"ADEQUIN","DQN"
"ADER","DR"
"ADERAN","DRN"
"ADERDOUR","DRDR"
"ADERHOLD","DRHLD"
"ADERIC","DRC"
"ADERNO","DRN"
"ADES","DS"
"ADESIR","DSR"
"ADET","DT"
"ADEUX","DX"
"ADGE","DG"
"ADGIE","DG"
"ADGNOT","DGNT"
"ADHEL","DHL"
"ADHEMAR","DHMR"
"ADHEMARD","DHMRD"
"ADHENET","DHNT"
"ADHUMEAU","DHM"
"ADIA","D"
"ADIAS","DS"
"ADIASSE","DSS"
"ADIB","DB"
"ADIBA","DB"
"ADICEAM","DCM"
"ADIDA","DD"
"ADIDI","DD"
"ADIEN","DN"
"ADIER","DR"
"ADIGADOU","DGD"
"ADIGE","DG"
"ADIGERY","DGR"
"ADIGUZEL","DGZL"
"ADIL","DL"
"ADILE","DL"
"ADILLON","DLLN"
"ADILLY","DLL"
"ADILON","DLN"
"ADIMI","DM"
"ADIMOULON","DMLN"
"ADIN","DN"
"ADINARAYANIN","DNRNN"
"ADINE","DN"
"ADINOLFI","DNLF"
"ADINS","DNS"
"ADISSON","DSSN"
"ADIVEZE","DVZ"
"ADIYAMAN","DMN"
"ADJA","DJ"
"ADJABI","DJB"
"ADJACENT","DJCNT"
"ADJADJ","DJDJ"
"ADJAL","DJL"
"ADJALI","DJL"
"ADJAM","DJM"
"ADJAMIAN","DJMN"
"ADJANOHOUN","DJNHN"
"ADJAOUD","DJD"
"ADJAOUT","DJT"
"ADJAR","DJR"
"ADJE","DJ"
"ADJEDJ","DJDJ"
"ADJEL","DJL"
"ADJEMI","DJM"
"ADJEMIAN","DJMN"
"ADJEMOUT","DJMT"
"ADJERIME","DJRM"
"ADJEROUD","DJRD"
"ADJEROUDI","DJRD"
"ADJI","DJ"
"ADJIBI","DJB"
"ADJILI","DJL"
"ADJIMAN","DJMN"
"ADJIMI","DJM"
"ADJIR","DJR"
"ADJMI","DJM"
"ADJOU","DJ"
"ADJOUDJ","DJDJ"
"ADJOUT","DJT"
"ADJOVI","DJV"
"ADJROUD","DJRD"
"ADJUTO","DJT"
"ADJUTOR","DJTR"
"ADKINS","DKNS"
"ADLA","DL"
"ADLANI","DLN"
"ADLAOUI","DL"
"ADLER","DLR"
"ADLI","DL"
"ADLINE","DLN"
"ADLOFF","DLFF"
"ADMANT","DMNT"
"ADMARD","DMRD"
"ADMETE","DMT"
"ADMETTE","DMTT"
"ADMI","DM"
"ADMIRAL","DMRL"
"ADMIRAT","DMRT"
"ADMOND","DMND"
"ADMONT","DMNT"
"ADNANE","DNN"
"ADNANI","DNN"
"ADNESSE","DNSS"
"ADNET","DNT"
"ADNIN","DNN"
"ADNOT","DNT"
"ADO","D"
"ADOBATI","DBT"
"ADOBET","DBT"
"ADOFF","DFF"
"ADOIR","DR"
"ADOIS","DS"
"ADOLF","DLF"
"ADOLFF","DLFF"
"ADOLFINI","DLFN"
"ADOLFO","DLF"
"ADOLPH","DLPH"
"ADOLPHE","DLPH"
"ADOLPHE DIT VENEROSY","DLPH DT VNRS"
"ADOLPHE VENEROSY","DLPH VNRS"
"ADOLPHE-VENEROSY","DLPH-VNRS"
"ADOLPHI","DLPH"
"ADOLPHUS","DLPHS"
"ADON","DN"
"ADONAI","DN"
"ADONAIE","DN"
"ADONEL","DNL"
"ADONETH","DNTH"
"ADONICAM","DNCM"
"ADONIS","DNS"
"ADOR","DR"
